acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
edu::ksu::cis::indus::slicer::StmtLevelSliceCriterion 0 1 5.5 0 0.25 0 0 0 0 13 0 0 0 2 0 0 0 4 22 0 12 1 0 4 0 3 0 0 0 4 0 0 0 52 0 0 0
edu::ksu::cis::indus::slicer::transformations::ExecutableSlicePostProcessorAndModifier 0 2 11.5 0 1.5 0 0 0 0 14 0 0 0 2 0 0 0 1 23 0 19 2 0 2 0 1 0 0 0 8 0 0 0 14 0 0 0
edu::ksu::cis::indus::slicer::transformations::TagBasedDestructiveSliceResidualizer 2 3.55555555555556 21.2777777777778 0 0.833333333333333 0 0 0 0 14 0 0 0 1 0 0 0 4 383 0 97 5 0 18 0 12 0 0 0 46 0 0 0 56 0 0 0
edu::ksu::cis::indus::slicer::transformations::TagBasedDestructiveSliceResidualizer::StmtResidualizer 0 3.33333333333333 21.2222222222222 0 1 0 0 0 0 15 0 0 0 1 0 0 0 6 191 0 69 0 0 9 0 7 0 0 0 15 0 0 0 90 0 0 0
edu::ksu::cis::indus::slicer::transformations::TagBasedDestructiveSliceResidualizer::ValueResidualizer 2 1.57142857142857 6.57142857142857 0 1 0 0 0 0 15 0 0 0 1 0 0 0 7 46 0 14 0 0 7 0 6 0 0 0 7 0 0 0 105 0 0 0
edu::ksu::cis::indus::toolkits::bandera::SlicerConfiguration 0 1 3 0 0 0 0 0 0 15 0 0 0 0 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 1 0 0 0 15 0 0 0
edu::ksu::cis::indus::tools::slicer::SlicerConfiguration 8 1.75342465753425 9.0958904109589 0 0.465753424657534 0 0 0 0 17 0 0 0 1 0 0 0 29 664 0 80 7 0 73 0 59 0 0 0 178 0 0 0 493 0 0 0
edu::ksu::cis::indus::toolkits::bandera::SlicerConfigurationView 0 1 3.66666666666667 0 0 0 0 0 0 17 0 0 0 1 0 0 0 6 22 0 7 1 0 6 0 6 0 0 0 7 0 0 0 102 0 0 0
edu::ksu::cis::indus::toolkits::bandera::SlicerTool 0 1 14.7272727272727 0 0.181818181818182 0 0 0 0 17 0 0 0 1 0 0 0 11 162 0 65 15 0 11 5 11 0 0 0 11 0 0 0 187 0 0 0
edu::ksu::cis::indus::tools::slicer::SlicerTool 17 1 16.21875 0 0.46875 0 0 0 0 17 0 0 0 1 0 0 0 32 519 0 82 30 0 32 3 27 0 0 0 32 0 0 0 544 0 0 0
edu::ksu::cis::indus::tools::slicer::contextualizers::AbstractSliceCriteriaCallStackContextualizer 5 1.5 5.875 0 1.5 0 0 0 0 17 0 0 0 1 0 0 0 1 47 0 26 1 2 8 0 3 0 0 0 21 0 0 0 17 0 0 0
edu::ksu::cis::indus::tools::slicer::contextualizers::DeadlockPreservingCriteriaCallStackContextualizer 0 1.5 9.25 0 1 0 0 0 0 18 0 0 0 2 0 0 0 1 37 0 15 1 0 4 0 1 0 0 0 15 0 0 0 18 0 0 0
edu::ksu::cis::indus::tools::slicer::contextualizers::ISliceCriteriaContextualizer 4 1 1 0 1.66666666666667 0 0 0 0 18 0 0 0 0 0 0 0 3 3 0 1 1 1 3 1 3 0 0 0 3 0 0 0 54 0 0 0
edu::ksu::cis::indus::tools::slicer::contextualizers::StaticSliceCriteriaCallStackContextualizer 0 1 3.66666666666667 0 1 0 0 0 0 18 0 0 0 2 0 0 0 1 11 0 4 1 0 3 0 1 0 0 0 6 0 0 0 18 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::generators::AbstractSliceCriteriaGenerator 1 1 5.7 0 1 0 0 0 0 18 0 0 0 1 0 0 0 10 57 0 12 4 0 10 0 4 0 0 0 10 0 0 0 180 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::generators::AbstractStmtBasedSliceCriteriaGenerator 0 1 17 0 0.5 0 0 0 0 18 0 0 0 1 0 0 0 4 68 0 59 2 0 4 0 0 0 0 0 4 0 0 0 72 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::generators::DeadlockPreservingCriteriaGenerator 0 7 47.5 0 1.5 0 0 0 0 18 0 0 0 1 0 0 0 1 95 0 73 1 0 2 0 0 0 0 0 14 0 0 0 18 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::generators::FieldBasedCriteriaGenerator 0 1 3 0 1 0 0 0 0 18 0 0 0 1 0 0 0 2 6 0 3 0 0 2 0 0 0 0 0 2 0 0 0 36 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::generators::ISliceCriteriaGenerator 1 1 1 0 1 0 0 0 0 18 0 0 0 0 0 0 0 4 4 0 1 0 1 4 0 4 0 0 0 4 0 0 0 72 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::generators::LineNumberBasedCriteriaGenerator 0 2 9 0 1 0 0 0 0 18 0 0 0 1 0 0 0 1 18 0 10 1 0 2 0 1 0 0 0 5 0 0 0 18 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::generators::StaticSliceCriteriaGenerator 0 1.5 9.5 0 0.5 0 0 0 0 18 0 0 0 1 0 0 0 1 19 0 15 1 0 2 0 1 0 0 0 6 0 0 0 18 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::generators::StmtTypeBasedSliceCriteriaGenerator 0 2 10 0 1 0 0 0 0 18 0 0 0 1 0 0 0 1 10 0 10 3 0 1 0 0 0 0 0 4 0 0 0 18 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::predicates::AbstractSliceCriteriaPredicate 1 1 3 0 0.5 0 0 0 0 18 0 0 0 2 0 0 0 2 6 0 3 1 1 2 0 1 0 0 0 2 0 0 0 36 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::predicates::AssertionSliceCriteriaPredicate 0 2.5 11 0 0.5 0 0 0 0 18 0 0 0 1 0 0 0 2 22 0 19 1 0 2 0 2 0 0 0 3 0 0 0 36 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::predicates::EscapingSliceCriteriaPredicate 0 3 20 0 1 0 0 0 0 18 0 0 0 1 0 0 0 1 20 0 20 0 0 1 0 1 0 0 0 3 0 0 0 18 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::predicates::ISliceCriteriaPredicate 2 1 1 0 1 0 0 0 0 18 0 0 0 1 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 18 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::predicates::ScopeBasedFieldPredicate 0 1 3 0 1 0 0 0 0 18 0 0 0 1 0 0 0 1 6 0 3 1 0 2 0 2 0 0 0 5 0 0 0 18 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::specification::SliceCriteriaParser 0 2.33333333333333 18.6666666666667 0 1 0 0 0 0 19 0 0 0 0 0 0 0 2 56 0 27 2 0 3 0 2 0 0 0 7 0 0 0 38 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::specification::SliceCriteriaSpec 1 2 6.66666666666667 0 0.333333333333333 0 0 0 0 20 0 0 0 0 0 0 0 1 20 0 14 2 0 3 0 1 0 0 0 9 0 0 0 20 0 0 0
edu::ksu::cis::indus::tools::slicer::criteria::specification::SliceCriterionSpec 1 4.16666666666667 17 0 0.333333333333333 0 0 0 0 20 0 0 0 1 0 0 0 1 102 0 57 10 0 6 0 3 0 0 0 37 0 0 0 20 0 0 0
edu::ksu::cis::indus::tools::slicer::processing::ExecutableSlicePostProcessor 2 5.57142857142857 26.3571428571429 0 1.14285714285714 0 0 0 0 20 0 0 0 1 0 0 0 2 369 0 63 7 1 14 0 3 0 0 0 70 0 0 0 40 0 0 0
edu::ksu::cis::indus::tools::slicer::processing::ISlicePostProcessor 3 1 1 0 3 0 0 0 0 20 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 20 0 0 0
edu::ksu::cis::indus::tools::slicer::SlicerConfigurator 0 4.81818181818182 73.4545454545455 0 1.18181818181818 0 0 0 0 21 0 0 0 1 0 0 0 3 808 0 181 0 0 11 0 1 0 0 0 45 0 0 0 63 0 0 0
edu::ksu::cis::indus::tools::slicer::SlicerToolHelper 0 2 13.2 0 1.4 0 0 0 0 22 0 0 0 0 0 0 0 4 66 0 29 1 0 5 0 4 0 0 0 13 0 0 0 88 0 0 0
