acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
com::google::debugging::sourcemap::proto::Mapping 10 1 2.33333333333333 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 7 0 3 5 0 3 0 2 0 0 0 4 0 0 0 0 0 0 0
com::google::debugging::sourcemap::proto::Mapping::LineMappingOrBuilder 2 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 7 7 0 1 0 2 7 0 7 0 0 0 7 0 0 0 0 0 0 0
com::google::debugging::sourcemap::proto::Mapping::LineMapping 4 1.47222222222222 6.05555555555556 0 0.611111111111111 0 0 0 0 4 0 0 0 2 0 0 0 28 218 0 58 13 0 36 4 29 0 0 0 54 0 0 0 112 0 0 0
com::google::debugging::sourcemap::proto::Mapping::LineMapping::Builder 2 1.6969696969697 7.24242424242424 0 0.303030303030303 0 0 0 0 4 0 0 0 2 0 0 0 31 239 0 24 5 0 33 0 27 0 0 0 49 0 0 0 124 0 0 0
com::google::debugging::sourcemap::proto::Mapping::OriginalMappingOrBuilder 2 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 10 10 0 1 0 2 10 0 10 0 0 0 10 0 0 0 0 0 0 0
com::google::debugging::sourcemap::proto::Mapping::OriginalMapping 12 1.61538461538462 6.97435897435897 0 0.564102564102564 0 0 0 0 2 0 0 0 2 0 0 0 31 272 0 55 15 0 39 5 32 0 0 0 53 0 0 0 62 0 0 0
com::google::debugging::sourcemap::proto::Mapping::OriginalMapping::Builder 8 1.61111111111111 7.33333333333333 0 0.305555555555556 0 0 0 0 2 0 0 0 2 0 0 0 33 264 0 24 5 0 36 0 31 0 0 0 48 0 0 0 66 0 0 0
com::google::javascript::jscomp::FunctionInfo 0 1 2.33333333333333 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 7 0 3 1 0 3 0 2 0 0 0 4 0 0 0 0 0 0 0
com::google::javascript::jscomp::FunctionInformationMap 95 1.51282051282051 6 0 0.666666666666667 0 0 0 0 3 0 0 0 2 0 0 0 8 234 0 59 10 0 39 3 32 0 0 0 92 0 0 0 24 0 0 0
com::google::javascript::jscomp::FunctionInformationMap::EntryOrBuilder 10 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 18 18 0 1 0 2 18 0 18 0 0 0 18 0 0 0 0 0 0 0
com::google::javascript::jscomp::FunctionInformationMap::Entry 6 1.97872340425532 8.57446808510638 0 0.468085106382979 0 0 0 0 4 0 0 0 2 0 0 0 47 403 0 70 21 0 47 8 40 0 0 0 91 0 0 0 188 0 0 0
com::google::javascript::jscomp::FunctionInformationMap::Entry::Builder 4 1.82692307692308 8.55769230769231 0 0.307692307692308 0 0 0 0 3 0 0 0 2 0 0 0 51 445 0 36 8 0 52 0 47 0 0 0 72 0 0 0 153 0 0 0
com::google::javascript::jscomp::FunctionInformationMap::ModuleOrBuilder 2 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 6 6 0 1 0 2 6 0 6 0 0 0 6 0 0 0 0 0 0 0
com::google::javascript::jscomp::FunctionInformationMap::Module 6 1.57142857142857 6.91428571428571 0 0.628571428571429 0 0 0 0 4 0 0 0 2 0 0 0 35 242 0 45 11 0 35 3 28 0 0 0 70 0 0 0 140 0 0 0
com::google::javascript::jscomp::FunctionInformationMap::Module::Builder 4 1.71428571428571 7.78571428571429 0 0.321428571428571 0 0 0 0 3 0 0 0 2 0 0 0 27 218 0 17 3 0 28 0 23 0 0 0 41 0 0 0 81 0 0 0
com::google::javascript::jscomp::FunctionInformationMap::Builder 7 2.14285714285714 9.39285714285714 0 0.660714285714286 0 0 0 0 3 0 0 0 2 0 0 0 55 526 0 57 5 0 56 0 47 0 0 0 111 0 0 0 165 0 0 0
com::google::javascript::jscomp::FunctionInformationMapOrBuilder 2 1 1 0 0.4 0 0 0 0 0 0 0 0 1 0 0 0 10 10 0 1 0 2 10 0 10 0 0 0 10 0 0 0 0 0 0 0
com::google::javascript::jscomp::Instrumentation 8 1.81632653061224 7.95918367346939 0 0.530612244897959 0 0 0 0 1 0 0 0 2 0 0 0 9 390 0 77 19 0 49 7 42 0 0 0 126 0 0 0 9 0 0 0
com::google::javascript::jscomp::Instrumentation::Builder 2 1.73333333333333 8.23333333333333 0 0.45 0 0 0 0 1 0 0 0 2 0 0 0 6 494 0 45 7 0 60 0 53 0 0 0 174 0 0 0 6 0 0 0
com::google::javascript::jscomp::InstrumentationOrBuilder 2 1 1 0 0.2 0 0 0 0 0 0 0 0 1 0 0 0 20 20 0 1 0 2 20 0 20 0 0 0 20 0 0 0 0 0 0 0
