acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
com::google::debugging::sourcemap::proto::Mapping 8 1 2.33333333333333 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 7 0 3 5 0 3 0 2 0 0 0 4 0 0 0 0 0 0 0
com::google::debugging::sourcemap::proto::Mapping::LineMappingOrBuilder 3 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 7 7 0 1 0 2 7 0 7 0 0 0 7 0 0 0 0 0 0 0
com::google::debugging::sourcemap::proto::Mapping::LineMapping 4 1.3030303030303 5 0 0.606060606060606 0 0 0 0 3 0 0 0 2 0 0 0 33 165 0 21 11 0 33 3 27 0 0 0 40 0 0 0 99 0 0 0
com::google::debugging::sourcemap::proto::Mapping::LineMapping::Builder 4 1.85294117647059 8.02941176470588 0 0.294117647058824 0 0 0 0 5 0 0 0 2 0 0 0 32 273 0 45 5 0 34 0 27 0 0 0 53 0 0 0 160 0 0 0
com::google::debugging::sourcemap::proto::Mapping::OriginalMappingOrBuilder 2 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 8 8 0 1 0 2 8 0 8 0 0 0 8 0 0 0 0 0 0 0
com::google::debugging::sourcemap::proto::Mapping::OriginalMapping 17 1.5 6.11111111111111 0 0.555555555555556 0 0 0 0 2 0 0 0 2 0 0 0 36 220 0 25 13 0 36 4 28 0 0 0 42 0 0 0 72 0 0 0
com::google::debugging::sourcemap::proto::Mapping::OriginalMapping::Builder 10 1.72727272727273 7.48484848484848 0 0.272727272727273 0 0 0 0 2 0 0 0 2 0 0 0 30 247 0 46 5 0 33 0 27 0 0 0 43 0 0 0 60 0 0 0
com::google::javascript::jscomp::FunctionInfo 0 1 2.33333333333333 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 7 0 3 1 0 3 0 2 0 0 0 4 0 0 0 0 0 0 0
com::google::javascript::jscomp::FunctionInformationMap 81 1.33333333333333 5 0 0.666666666666667 0 0 0 0 1 0 0 0 2 0 0 0 9 180 0 19 8 0 36 2 30 0 0 0 95 0 0 0 9 0 0 0
com::google::javascript::jscomp::FunctionInformationMap::EntryOrBuilder 6 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 14 14 0 1 0 2 14 0 14 0 0 0 14 0 0 0 0 0 0 0
com::google::javascript::jscomp::FunctionInformationMap::Entry 6 1.84090909090909 7.59090909090909 0 0.454545454545455 0 0 0 0 4 0 0 0 2 0 0 0 44 334 0 37 19 0 44 7 34 0 0 0 90 0 0 0 176 0 0 0
com::google::javascript::jscomp::FunctionInformationMap::Entry::Builder 6 1.97777777777778 8.68888888888889 0 0.266666666666667 0 0 0 0 3 0 0 0 2 0 0 0 44 391 0 61 8 0 45 0 39 0 0 0 63 0 0 0 132 0 0 0
com::google::javascript::jscomp::FunctionInformationMap::ModuleOrBuilder 2 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 4 0 1 0 2 4 0 4 0 0 0 4 0 0 0 0 0 0 0
com::google::javascript::jscomp::FunctionInformationMap::Module 6 1.5 6.25 0 0.625 0 0 0 0 4 0 0 0 2 0 0 0 32 200 0 17 9 0 32 2 24 0 0 0 73 0 0 0 128 0 0 0
com::google::javascript::jscomp::FunctionInformationMap::Module::Builder 6 1.8 7.64 0 0.28 0 0 0 0 3 0 0 0 2 0 0 0 24 191 0 36 3 0 25 0 19 0 0 0 36 0 0 0 72 0 0 0
com::google::javascript::jscomp::FunctionInformationMap::Builder 33 2.19298245614035 9.70175438596491 0 0.649122807017544 0 0 0 0 3 0 0 0 2 0 0 0 56 553 0 57 5 0 57 0 47 0 0 0 114 0 0 0 168 0 0 0
com::google::javascript::jscomp::FunctionInformationMapOrBuilder 2 1 1 0 0.4 0 0 0 0 0 0 0 0 1 0 0 0 10 10 0 1 0 2 10 0 10 0 0 0 10 0 0 0 0 0 0 0
com::google::javascript::jscomp::Instrumentation 7 1.63636363636364 7 0 0.5 0 0 0 0 1 0 0 0 2 0 0 0 10 308 0 43 17 0 44 6 34 0 0 0 122 0 0 0 10 0 0 0
com::google::javascript::jscomp::Instrumentation::Builder 12 1.85714285714286 8.30612244897959 0 0.387755102040816 0 0 0 0 1 0 0 0 2 0 0 0 6 407 0 56 7 0 49 0 41 0 0 0 162 0 0 0 6 0 0 0
com::google::javascript::jscomp::InstrumentationOrBuilder 2 1 1 0 0.142857142857143 0 0 0 0 0 0 0 0 1 0 0 0 14 14 0 1 0 2 14 0 14 0 0 0 14 0 0 0 0 0 0 0
com::google::javascript::jscomp::InstrumentationTemplate 0 1 2.33333333333333 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 3 7 0 3 1 0 3 0 2 0 0 0 4 0 0 0 0 0 0 0
org::mozilla::javascript::ClassDefinitionException 0 1 3 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::mozilla::javascript::NotAFunctionException 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::mozilla::javascript::PropertyException 0 1 3 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::mozilla::javascript::xml::impl::xmlbeans::LogicalEquality 0 4.9 26.4 0 1.8 0 0 0 0 0 0 0 0 0 0 0 0 1 264 0 70 0 0 10 0 1 0 0 0 26 0 0 0 0 0 0 0
org::mozilla::javascript::xml::impl::xmlbeans::Namespace 0 1 8.90909090909091 0 1.13636363636364 0 0 0 0 0 0 0 0 3 0 0 0 22 196 0 24 6 0 22 0 11 0 0 0 22 0 0 0 0 0 0 0
org::mozilla::javascript::xmlimpl::Namespace 0 1 8.33333333333333 0 0.916666666666667 0 0 0 0 0 0 0 0 3 0 0 0 24 200 0 34 5 0 24 0 10 0 0 0 24 0 0 0 0 0 0 0
org::mozilla::javascript::xml::impl::xmlbeans::NamespaceHelper 0 1 24.3333333333333 0 2 0 0 0 0 0 0 0 0 0 0 0 0 9 219 0 45 4 0 9 0 5 0 0 0 9 0 0 0 0 0 0 0
org::mozilla::javascript::xml::impl::xmlbeans::QName 0 1 10.5555555555556 0 1.27777777777778 0 0 0 0 0 0 0 0 3 0 0 0 18 190 0 24 6 0 18 0 6 0 0 0 18 0 0 0 0 0 0 0
org::mozilla::javascript::xmlimpl::QName 0 1 8.7 0 1.15 0 0 0 0 0 0 0 0 3 0 0 0 20 174 0 25 6 0 20 0 7 0 0 0 20 0 0 0 0 0 0 0
deprecatedsrc/org/mozilla/javascript/xml/impl/xmlbeans/XML 28 1 7 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 3 21 0 16 4 0 3 1 0 0 0 0 3 0 0 0 0 0 0 0
