id,software,string de busca ACM,data da busca,resultados,string de busca IEEE,data da busca,resultados
s35,MPAnalyzer,content.ftsec:(+MPAnalyzer),Mon Aug  7 03:03:05 UTC 2017,2,(MPAnalyzer),Mon Aug  7 03:03:05 UTC 2017,1
s36,MSP,content.ftsec:(+MSP +tool +Binary +"Program Analysis"),Mon Aug  7 22:29:35 UTC 2017,17,((((MSP) AND tool) AND Binary) AND "Program Analysis"),Mon Aug  7 22:29:35 UTC 2017,20
s37,mygcc,content.ftsec:(+mygcc),Mon Aug  7 03:23:29 UTC 2017,2,(mygcc),Mon Aug  7 03:23:29 UTC 2017,5
s38,PARSEWeb,content.ftsec:(+PARSEWeb +tool +AST),Mon Aug  7 22:38:05 UTC 2017,29,(((PARSEWeb) AND tool) AND AST),Mon Aug  7 22:38:05 UTC 2017,20
s39,PAT,content.ftsec:(+"Puzzle-based automatic testing"),Mon Aug  7 03:29:20 UTC 2017,3,("Puzzle-based automatic testing"),Mon Aug  7 03:29:20 UTC 2017,10
s40,PHP AiR,content.ftsec:(+"PHP AiR"),Mon Aug  7 03:32:46 UTC 2017,3,("PHP AiR"),Mon Aug  7 03:32:46 UTC 2017,8
s41,protopurity,content.ftsec:(+protopurity),Mon Aug  7 03:38:04 UTC 2017,0,(protopurity),Mon Aug  7 03:38:04 UTC 2017,0
s42,Pseudogen,content.ftsec:(+Pseudogen +"Pseudo-Code"),Mon Aug  7 03:40:08 UTC 2017,1,(Pseudogen),Mon Aug  7 03:40:08 UTC 2017,4
s43,PtYasm,content.ftsec:(+PtYasm),Mon Aug  7 03:45:47 UTC 2017,0,(PtYasm),Mon Aug  7 03:45:47 UTC 2017,2
s44,PuMoC,content.ftsec:(+PuMoC),Mon Aug  7 03:47:57 UTC 2017,3,(PuMoC),Mon Aug  7 03:47:57 UTC 2017,1
s45,PYTHIA,content.ftsec:(+PYTHIA +JavaScript),Mon Aug  7 20:41:36 UTC 2017,5,((PYTHIA) AND JavaScript),Mon Aug  7 20:41:36 UTC 2017,10
s46,ReAssert,content.ftsec:(+ReAssert +tool +"Unit Tests"),Mon Aug  7 20:48:58 UTC 2017,16,(ReAssert tool "Unit Tests"),Mon Aug  7 20:48:58 UTC 2017,12
s47,Rêve,content.ftsec:(+"Reve" +Automating +regression +verification),Mon Aug  7 21:00:49 UTC 2017,6,(Reve Automating regression verification),Mon Aug  7 21:00:49 UTC 2017,7
s48,RRFinder,content.ftsec:(+RRFinder),Mon Aug  7 21:06:01 UTC 2017,3,(RRFinder),Mon Aug  7 21:06:01 UTC 2017,2
s49,Sapid/XML,content.ftsec:(+"Sapid/XML"),Mon Aug  7 21:08:48 UTC 2017,1,("Sapid/XML"),Mon Aug  7 21:08:48 UTC 2017,4
s50,Sonar Qube Plug-in,content.ftsec:(+"SonarQube-plug-in"),Mon Aug  7 21:13:03 UTC 2017,1,(SonarQube-plug-in),Mon Aug  7 21:13:03 UTC 2017,1
s51,SPARTA,content.ftsec:(+SPARTA +"Program Analysis"),Mon Aug  7 21:17:00 UTC 2017,2,(SPARTA "Program Analysis"),Mon Aug  7 21:17:00 UTC 2017,5
s52,srcML,content.ftsec:(+srcML +Toolkit +Java +"C++"),Mon Aug  7 21:26:43 UTC 2017,9,(srcML Toolkit Java C),Mon Aug  7 21:26:43 UTC 2017,34
s53,SWAT,content.ftsec:(+SWAT +Search +Web +Application +Tester),Mon Aug  7 21:32:54 UTC 2017,10,(SWAT Search Web Application Tester),Mon Aug  7 21:32:54 UTC 2017,5
s54,TACLE,content.ftsec:(+TACLE +"Type Analysis"),Mon Aug  7 21:39:16 UTC 2017,2,(TACLE "Type Analysis"),Mon Aug  7 21:39:16 UTC 2017,2
s55,TEBA,content.ftsec:(+TEBA +tool),Mon Aug  7 21:50:45 UTC 2017,3,(((TEBA) AND tool) AND Programs),Mon Aug  7 21:50:45 UTC 2017,8
s56,TestEra,content.ftsec:(+TestEra +framework +Java +testing +sarfraz),Mon Aug  7 22:02:37 UTC 2017,23,(((((TestEra) AND framework) AND Java) AND testing) AND sarfraz),Mon Aug  7 22:02:37 UTC 2017,21
s57,Vdiff,content.ftsec:(+Vdiff +verilog +HDL),Mon Aug  7 22:07:44 UTC 2017,4,(((Vdiff) AND verilog) AND HDL),Mon Aug  7 22:07:44 UTC 2017,6
s58,WALA,content.ftsec:(+WALA +"Static Analysis" +"Concurrency Bugs"),Mon Aug  7 22:13:32 UTC 2017,8,(((WALA) AND "Static Analysis") AND "Concurrency Bugs"),Mon Aug  7 22:13:32 UTC 2017,4
s59,Wrangler,content.ftsec:(+Wrangler +Erlang),Mon Aug  7 22:17:13 UTC 2017,25,((Wrangler) AND Erlang),Mon Aug  7 22:17:13 UTC 2017,12
s60,XOgastan,content.ftsec:(+XOgastan),Mon Aug  7 22:20:56 UTC 2017,0,(XOgastan),Mon Aug  7 22:20:56 UTC 2017,7
